budget_id,user_id,category,monthly_limit,month
B0001,U001,Food,6000,2026-04
B0002,U001,Transport,4000,2026-04
B0003,U001,Shopping,5000,2026-04
B0004,U001,Entertainment,2500,2026-04
B0005,U001,Bills,3000,2026-04
B0006,U001,Healthcare,3000,2026-04
B0007,U001,Education,3000,2026-04
B0008,U001,Travel,5000,2026-04
B0009,U001,Utilities,3000,2026-04
B0010,U001,Rent,12000,2026-04
B0011,U001,Other,2500,2026-04
B0012,U001,Food,6000,2026-05
B0013,U001,Transport,4000,2026-05
B0014,U001,Shopping,5000,2026-05
B0015,U001,Entertainment,2500,2026-05
B0016,U001,Bills,3000,2026-05
B0017,U001,Healthcare,3000,2026-05
B0018,U001,Education,3000,2026-05
B0019,U001,Travel,5000,2026-05
B0020,U001,Utilities,3000,2026-05
B0021,U001,Rent,12000,2026-05
B0022,U001,Other,2500,2026-05
B0023,U001,Food,6000,2026-06
B0024,U001,Transport,4000,2026-06
B0025,U001,Shopping,5000,2026-06
B0026,U001,Entertainment,2500,2026-06
B0027,U001,Bills,3000,2026-06
B0028,U001,Healthcare,3000,2026-06
B0029,U001,Education,3000,2026-06
B0030,U001,Travel,5000,2026-06
B0031,U001,Utilities,3000,2026-06
B0032,U001,Rent,12000,2026-06
B0033,U001,Other,2500,2026-06
B0034,U001,Food,6000,2026-07
B0035,U001,Transport,4000,2026-07
B0036,U001,Shopping,5000,2026-07
B0037,U001,Entertainment,2500,2026-07
B0038,U001,Bills,3000,2026-07
B0039,U001,Healthcare,3000,2026-07
B0040,U001,Education,3000,2026-07
B0041,U001,Travel,5000,2026-07
B0042,U001,Utilities,3000,2026-07
B0043,U001,Rent,12000,2026-07
B0044,U001,Other,2500,2026-07
B0045,U001,Food,6000,2026-08
B0046,U001,Transport,4000,2026-08
B0047,U001,Shopping,5000,2026-08
B0048,U001,Entertainment,2500,2026-08
B0049,U001,Bills,3000,2026-08
B0050,U001,Healthcare,3000,2026-08
B0051,U001,Education,3000,2026-08
B0052,U001,Travel,5000,2026-08
B0053,U001,Utilities,3000,2026-08
B0054,U001,Rent,12000,2026-08
B0055,U001,Other,2500,2026-08
B0056,U001,Food,6000,2026-09
B0057,U001,Transport,4000,2026-09
B0058,U001,Shopping,5000,2026-09
B0059,U001,Entertainment,2500,2026-09
B0060,U001,Bills,3000,2026-09
B0061,U001,Healthcare,3000,2026-09
B0062,U001,Education,3000,2026-09
B0063,U001,Travel,5000,2026-09
B0064,U001,Utilities,3000,2026-09
B0065,U001,Rent,12000,2026-09
B0066,U001,Other,2500,2026-09
B0067,U002,Food,6500,2026-04
B0068,U002,Transport,4000,2026-04
B0069,U002,Shopping,4500,2026-04
B0070,U002,Entertainment,1800,2026-04
B0071,U002,Bills,3500,2026-04
B0072,U002,Healthcare,3000,2026-04
B0073,U002,Education,2500,2026-04
