expense_id,user_id,date,category,merchant,amount,payment_method
E0009,U001,2026-04-02,Entertainment,Spotify,506,Net Banking
E0052,U001,2026-04-05,Utilities,Electricity Board,1022,Cash
E0005,U001,2026-04-08,Food,Swiggy,299,Card
E0028,U001,2026-04-09,Entertainment,BookMyShow,400,Net Banking
E0014,U001,2026-04-12,Food,McDonald's,310,UPI
E0018,U001,2026-04-12,Shopping,Flipkart,2237,Cash
E0038,U001,2026-04-13,Healthcare,Apollo Pharmacy,1506,Card
E0080,U001,2026-04-13,Food,Starbucks,372,UPI
E0073,U001,2026-04-14,Food,Swiggy,313,UPI
E0065,U001,2026-04-18,Food,Swiggy,519,Cash
E0064,U001,2026-04-19,Shopping,Amazon,1943,Card
E0066,U001,2026-04-19,Food,Starbucks,354,Card
E0019,U001,2026-04-21,Food,Zomato,359,UPI
E0012,U001,2026-04-24,Shopping,AJIO,3320,UPI
E0081,U001,2026-04-24,Transport,Ola,271,Card
E0044,U001,2026-04-29,Shopping,Myntra,4184,Net Banking
E0056,U001,2026-05-03,Food,McDonald's,557,Card
E0003,U001,2026-05-06,Food,Swiggy,538,UPI
E0049,U001,2026-05-10,Rent,Monthly Rent,11248,Card
E0045,U001,2026-05-11,Rent,Monthly Rent,8000,UPI
E0025,U001,2026-05-12,Food,McDonald's,275,Net Banking
E0070,U001,2026-05-19,Healthcare,Apollo Pharmacy,2341,UPI
E0031,U001,2026-05-25,Education,Amazon Books,1586,Net Banking
E0058,U001,2026-05-25,Transport,Ola,299,Cash
E0011,U001,2026-05-26,Shopping,Myntra,1754,UPI
E0008,U001,2026-05-27,Food,McDonald's,764,Cash
E0006,U001,2026-05-30,Food,Starbucks,354,UPI
E0054,U001,2026-06-01,Shopping,Amazon,2009,UPI
E0069,U001,2026-06-02,Bills,Jio,612,Net Banking
E0061,U001,2026-06-03,Other,Local Store,1023,UPI
E0075,U001,2026-06-03,Food,Zomato,1279,Card
E0033,U001,2026-06-07,Utilities,Electricity Board,426,Card
E0046,U001,2026-06-07,Education,Amazon Books,811,Card
E0057,U001,2026-06-07,Food,Starbucks,666,Net Banking
E0023,U001,2026-06-08,Other,Gift,1157,UPI
E0029,U001,2026-06-08,Food,Swiggy,713,Card
E0026,U001,2026-06-09,Food,Starbucks,231,Card
E0002,U001,2026-06-10,Food,Zomato,621,Card
E0067,U001,2026-06-11,Food,McDonald's,628,Card
E0053,U001,2026-06-18,Transport,Ola,285,UPI
E0027,U001,2026-06-23,Travel,MakeMyTrip,2614,Card
E0062,U001,2026-06-26,Transport,Uber,136,Card
E0010,U001,2026-06-27,Transport,Rapido,222,Card
